atm_id,city,city_name,name,lat,lng,type,base_risk,crime_density,daily_volume
MUM-025,mumbai,Mumbai,Thane Block C,19.1223,72.9589,retail,0.466,9,7250
MUM-026,mumbai,Mumbai,Vashi Block C,19.1049,72.8664,retail,0.324,4,5733
MUM-027,mumbai,Mumbai,Kurla Block C,19.1056,72.8745,bank,0.217,3,8409
MUM-028,mumbai,Mumbai,Dadar Block C,18.9994,72.9657,retail,0.417,6,10181
MUM-029,mumbai,Mumbai,Borivali Block C,19.0898,72.7671,highway,0.516,7,15132
MUM-030,mumbai,Mumbai,Mulund Block C,19.069,72.8786,high_value,0.816,16,19939
MUM-031,mumbai,Mumbai,Bandra Block D,19.0877,72.9163,high_value,0.878,12,5899
MUM-032,mumbai,Mumbai,Andheri Block D,19.0754,72.8779,high_value,0.827,17,2411
MUM-033,mumbai,Mumbai,Lower Parel Block D,19.0602,72.8656,retail,0.424,7,8005
MUM-034,mumbai,Mumbai,Powai Block D,19.0884,72.8879,bank,0.25,3,4540
MUM-035,mumbai,Mumbai,Thane Block D,19.0254,72.8286,retail,0.402,5,7082
MUM-036,mumbai,Mumbai,Vashi Block D,19.1012,72.8921,high_value,0.94,15,11163
MUM-037,mumbai,Mumbai,Kurla Block D,19.0799,72.865,commercial,0.61,12,20050
MUM-038,mumbai,Mumbai,Dadar Block D,19.1248,72.8234,highway,0.552,9,6200
MUM-039,mumbai,Mumbai,Borivali Block D,19.1876,72.9428,retail,0.466,6,9903
MUM-040,mumbai,Mumbai,Mulund Block D,19.0754,72.8726,high_value,0.817,19,6361
MUM-041,mumbai,Mumbai,Bandra Block E,19.0857,72.867,bank,0.224,2,11040
MUM-042,mumbai,Mumbai,Andheri Block E,19.0301,72.8783,retail,0.402,9,8604
MUM-043,mumbai,Mumbai,Lower Parel Block E,19.0961,72.9426,high_value,0.844,17,12918
MUM-044,mumbai,Mumbai,Powai Block E,19.0546,72.8892,commercial,0.661,13,13678
MUM-045,mumbai,Mumbai,Thane Block E,19.0083,72.9068,retail,0.371,3,12091
MUM-046,mumbai,Mumbai,Vashi Block E,19.0895,72.9343,retail,0.369,7,9876
MUM-047,mumbai,Mumbai,Kurla Block E,19.0471,72.7374,commercial,0.635,12,3550
MUM-048,mumbai,Mumbai,Dadar Block E,19.0989,72.8521,retail,0.457,7,3395
MUM-049,mumbai,Mumbai,Borivali Block E,19.0905,72.9031,bank,0.188,6,14099
MUM-050,mumbai,Mumbai,Mulund Block E,19.186,73.0031,retail,0.404,5,4266
BAN-001,bangalore,Bangalore,MG Road,12.9254,77.6725,retail,0.33,6,5328
BAN-002,bangalore,Bangalore,Indiranagar,12.9725,77.5963,retail,0.384,6,22888
BAN-003,bangalore,Bangalore,Koramangala,13.0176,77.5244,retail,0.419,4,6881
BAN-004,bangalore,Bangalore,Whitefield,13.0073,77.6083,bank,0.287,2,7782
BAN-005,bangalore,Bangalore,Electronic City,12.9572,77.628,high_value,0.873,11,7579
BAN-006,bangalore,Bangalore,Hebbal,12.938,77.5912,retail,0.455,7,4817
BAN-007,bangalore,Bangalore,Jayanagar,12.9884,77.6497,bank,0.217,3,13856
BAN-008,bangalore,Bangalore,HSR Layout,12.9978,77.6492,highway,0.508,6,9725
BAN-009,bangalore,Bangalore,Marathahalli,12.9232,77.5955,bank,0.253,2,8944
BAN-010,bangalore,Bangalore,Banashankari,12.9662,77.5834,retail,0.482,6,4567
BAN-011,bangalore,Bangalore,MG Road Block B,13.0139,77.629,bank,0.237,5,9607
BAN-012,bangalore,Bangalore,Indiranagar Block B,12.9639,77.4861,retail,0.459,8,4386
BAN-013,bangalore,Bangalore,Koramangala Block B,12.9973,77.5253,highway,0.487,9,8606
BAN-014,bangalore,Bangalore,Whitefield Block B,12.9913,77.5953,commercial,0.73,6,5305
BAN-015,bangalore,Bangalore,Electronic City Block B,12.9487,77.6144,commercial,0.62,6,8820
BAN-016,bangalore,Bangalore,Hebbal Block B,12.9477,77.5512,retail,0.449,3,6888
BAN-017,bangalore,Bangalore,Jayanagar Block B,12.939,77.5906,high_value,0.773,9,16692
BAN-018,bangalore,Bangalore,HSR Layout Block B,12.9255,77.5845,highway,0.53,3,12415
BAN-019,bangalore,Bangalore,Marathahalli Block B,12.9725,77.5943,commercial,0.67,8,7372
BAN-020,bangalore,Bangalore,Banashankari Block B,12.9985,77.615,commercial,0.601,9,4666
BAN-021,bangalore,Bangalore,MG Road Block C,12.9843,77.5568,commercial,0.689,11,5992
BAN-022,bangalore,Bangalore,Indiranagar Block C,12.9788,77.6018,retail,0.405,2,4158
BAN-023,bangalore,Bangalore,Koramangala Block C,12.9702,77.589,retail,0.396,8,6066
BAN-024,bangalore,Bangalore,Whitefield Block C,12.8753,77.4851,retail,0.402,5,8269
BAN-025,bangalore,Bangalore,Electronic City Block C,12.9732,77.6068,retail,0.385,7,7060
BAN-026,bangalore,Bangalore,Hebbal Block C,12.9779,77.6726,commercial,0.635,10,15121
BAN-027,bangalore,Bangalore,Jayanagar Block C,12.9691,77.5901,retail,0.338,9,10532
BAN-028,bangalore,Bangalore,HSR Layout Block C,12.9796,77.585,high_value,0.852,10,7528
BAN-029,bangalore,Bangalore,Marathahalli Block C,12.9405,77.5691,commercial,0.566,11,9482
BAN-030,bangalore,Bangalore,Banashankari Block C,13.0107,77.641,retail,0.484,5,6143
BAN-031,bangalore,Bangalore,MG Road Block D,12.9207,77.4566,high_value,0.823,12,3599
BAN-032,bangalore,Bangalore,Indiranagar Block D,12.9756,77.5968,bank,0.221,4,4878
BAN-033,bangalore,Bangalore,Koramangala Block D,12.9748,77.617,high_value,0.852,9,5937
BAN-034,bangalore,Bangalore,Whitefield Block D,12.8683,77.5674,retail,0.3,6,9769
BAN-035,bangalore,Bangalore,Electronic City Block D,12.9439,77.6442,bank,0.347,4,7113
BAN-036,bangalore,Bangalore,Hebbal Block D,13.0102,77.6103,bank,0.277,6,5113
BAN-037,bangalore,Bangalore,Jayanagar Block D,12.9833,77.6324,high_value,0.835,14,15630
BAN-038,bangalore,Bangalore,HSR Layout Block D,13.0087,77.4648,commercial,0.595,6,6917
BAN-039,bangalore,Bangalore,Marathahalli Block D,13.1031,77.5882,retail,0.461,5,5571
BAN-040,bangalore,Bangalore,Banashankari Block D,12.9718,77.5876,highway,0.535,7,13073
BAN-041,bangalore,Bangalore,MG Road Block E,12.9893,77.5988,commercial,0.638,7,8464
BAN-042,bangalore,Bangalore,Indiranagar Block E,12.9629,77.6191,retail,0.419,6,28183
BAN-043,bangalore,Bangalore,Koramangala Block E,13.0018,77.5774,bank,0.273,2,6507
BAN-044,bangalore,Bangalore,Whitefield Block E,13.045,77.5221,highway,0.467,9,13306
BAN-045,bangalore,Bangalore,Electronic City Block E,12.9943,77.6076,commercial,0.716,6,8310
BAN-046,bangalore,Bangalore,Hebbal Block E,12.9747,77.588,bank,0.249,3,12196
BAN-047,bangalore,Bangalore,Jayanagar Block E,12.9144,77.5483,commercial,0.653,3,6728
BAN-048,bangalore,Bangalore,HSR Layout Block E,12.9728,77.5952,high_value,0.853,9,10560
BAN-049,bangalore,Bangalore,Marathahalli Block E,12.9994,77.5884,commercial,0.665,2,9336
BAN-050,bangalore,Bangalore,Banashankari Block E,12.9819,77.6434,retail,0.389,3,17074
KOL-001,kolkata,Kolkata,Park Street,22.6901,88.4126,high_value,0.829,9,6743
KOL-002,kolkata,Kolkata,Salt Lake,22.6144,88.3972,high_value,0.858,9,8115
KOL-003,kolkata,Kolkata,New Market,22.589,88.322,commercial,0.764,9,4807
KOL-004,kolkata,Kolkata,Ballygunge,22.5925,88.3453,commercial,0.591,7,3291
KOL-005,kolkata,Kolkata,Dum Dum,22.5999,88.3082,highway,0.491,6,6662
KOL-006,kolkata,Kolkata,Howrah,22.5687,88.4319,high_value,0.776,10,8881
KOL-007,kolkata,Kolkata,Gariahat,22.5847,88.3649,bank,0.248,1,3040
KOL-008,kolkata,Kolkata,Behala,22.5751,88.3598,retail,0.378,9,5206
KOL-009,kolkata,Kolkata,Lake Gardens,22.5703,88.3332,commercial,0.536,6,9343
KOL-010,kolkata,Kolkata,Shyambazar,22.638,88.3435,commercial,0.62,8,20191
KOL-011,kolkata,Kolkata,Park Street Block B,22.5702,88.4515,high_value,0.896,10,16404
KOL-012,kolkata,Kolkata,Salt Lake Block B,22.6078,88.3343,retail,0.402,7,5559
KOL-013,kolkata,Kolkata,New Market Block B,22.6071,88.4155,retail,0.405,4,9122
KOL-014,kolkata,Kolkata,Ballygunge Block B,22.5755,88.3654,high_value,0.783,9,4985
KOL-015,kolkata,Kolkata,Dum Dum Block B,22.5341,88.4214,retail,0.378,4,9332
KOL-016,kolkata,Kolkata,Howrah Block B,22.5738,88.3493,high_value,0.9,9,5550
KOL-017,kolkata,Kolkata,Gariahat Block B,22.5576,88.3477,commercial,0.604,8,11168
KOL-018,kolkata,Kolkata,Behala Block B,22.5707,88.3635,bank,0.218,5,12886
KOL-019,kolkata,Kolkata,Lake Gardens Block B,22.6128,88.3584,retail,0.43,6,5287
KOL-020,kolkata,Kolkata,Shyambazar Block B,22.5116,88.4706,commercial,0.598,9,3031
KOL-021,kolkata,Kolkata,Park Street Block C,22.5338,88.3807,bank,0.233,2,9002
KOL-022,kolkata,Kolkata,Salt Lake Block C,22.5636,88.3512,highway,0.492,6,9332
KOL-023,kolkata,Kolkata,New Market Block C,22.5735,88.3345,highway,0.537,8,4820
KOL-024,kolkata,Kolkata,Ballygunge Block C,22.4518,88.3259,bank,0.27,4,5850
KOL-025,kolkata,Kolkata,Dum Dum Block C,22.577,88.3535,retail,0.436,6,25596
KOL-026,kolkata,Kolkata,Howrah Block C,22.5571,88.363,retail,0.438,7,9804
KOL-027,kolkata,Kolkata,Gariahat Block C,22.5313,88.3123,commercial,0.649,7,12261
KOL-028,kolkata,Kolkata,Behala Block C,22.5772,88.3636,retail,0.371,3,10875
KOL-029,kolkata,Kolkata,Lake Gardens Block C,22.5179,88.3425,retail,0.344,4,9311
KOL-030,kolkata,Kolkata,Shyambazar Block C,22.6356,88.3661,high_value,0.811,13,11205
KOL-031,kolkata,Kolkata,Park Street Block D,22.5921,88.3582,commercial,0.609,7,5385
KOL-032,kolkata,Kolkata,Salt Lake Block D,22.5559,88.2619,retail,0.329,1,3359
KOL-033,kolkata,Kolkata,New Market Block D,22.5726,88.3638,retail,0.371,7,8871
KOL-034,kolkata,Kolkata,Ballygunge Block D,22.5277,88.3697,high_value,0.927,9,22093
KOL-035,kolkata,Kolkata,Dum Dum Block D,22.5348,88.3475,retail,0.441,3,8074
KOL-036,kolkata,Kolkata,Howrah Block D,22.575,88.3652,commercial,0.685,10,13064
KOL-037,kolkata,Kolkata,Gariahat Block D,22.5803,88.3302,retail,0.356,4,5315
KOL-038,kolkata,Kolkata,Behala Block D,22.58,88.4066,retail,0.349,4,20476
KOL-039,kolkata,Kolkata,Lake Gardens Block D,22.5281,88.3085,high_value,0.835,13,14754
KOL-040,kolkata,Kolkata,Shyambazar Block D,22.565,88.3588,commercial,0.657,4,3346
KOL-041,kolkata,Kolkata,Park Street Block E,22.5351,88.4923,commercial,0.64,10,6738
KOL-042,kolkata,Kolkata,Salt Lake Block E,22.5814,88.3363,retail,0.399,5,19655
KOL-043,kolkata,Kolkata,New Market Block E,22.5195,88.388,highway,0.445,7,9873
KOL-044,kolkata,Kolkata,Ballygunge Block E,22.5032,88.2503,high_value,0.845,9,7318
KOL-045,kolkata,Kolkata,Dum Dum Block E,22.5717,88.3774,bank,0.204,1,6961
